timestamp,equipment,alarm_type,severity
2026-07-20 08:11:14,Pump-02,Pressure High,warning
2026-07-20 08:15:44,Valve-02,Position Error,warning
2026-07-20 08:27:36,Pump-02,Pressure High,warning
2026-07-20 08:31:39,Valve-02,Failed to Close,critical
2026-07-20 08:41:33,Valve-02,Failed to Close,critical
2026-07-20 08:51:11,Sensor-01,Signal Unstable,warning
2026-07-20 08:56:15,Pump-01,Pressure Low,warning
2026-07-20 09:02:23,Tank-01,Level High,warning
2026-07-20 09:15:44,Tank-02,Level High,warning
2026-07-20 09:22:11,Tank-02,Level Low-Low,critical
2026-07-20 09:23:15,PLC-01,Backup Battery Low,warning
2026-07-20 09:24:55,Tank-01,Level High-High,critical
2026-07-20 09:31:25,Valve-02,Position Error,warning
2026-07-20 09:44:56,Tank-01,Level High,warning
2026-07-20 09:46:59,Sensor-01,Out of Range,critical
2026-07-20 10:01:33,Tank-02,Level High,warning
2026-07-20 10:05:27,Tank-01,Level High-High,critical
2026-07-20 10:16:50,Pump-02,Flow Low,warning
2026-07-20 10:21:20,Valve-01,Connection Lost,critical
2026-07-20 10:32:35,Valve-02,Failed to Close,critical
2026-07-20 10:46:01,Pump-01,Pressure Low,warning
2026-07-20 11:00:05,Tank-02,Level Low,warning
2026-07-20 11:04:01,Tank-02,Level High,warning
2026-07-20 11:11:06,PLC-01,Communication Timeout,critical
2026-07-20 11:15:38,Tank-01,Level High-High,critical
2026-07-20 11:25:55,Sensor-01,Out of Range,critical
2026-07-20 11:28:36,PLC-01,Communication Timeout,critical
2026-07-20 11:30:48,Valve-01,Position Error,warning
2026-07-20 11:41:18,Pump-02,Pump Trip,critical
2026-07-20 11:49:37,Tank-01,Level High-High,critical
2026-07-20 11:50:08,Pump-02,Motor Overheat,critical
2026-07-20 11:56:16,Pump-02,Motor Overheat,critical
2026-07-20 12:04:20,Pump-01,Motor Overheat,critical
2026-07-20 12:17:40,Valve-01,Failed to Open,critical
2026-07-20 12:28:40,Tank-01,Level High-High,critical
2026-07-20 12:32:23,Valve-01,Connection Lost,critical
2026-07-20 12:41:55,Pump-01,Motor Overheat,critical
2026-07-20 12:44:09,Tank-02,Level Low,warning
2026-07-20 12:48:35,Pump-02,Pressure High,warning
2026-07-20 13:02:50,Pump-02,Flow Low,warning
2026-07-20 13:12:32,Valve-01,Connection Lost,critical
2026-07-20 13:23:13,Sensor-01,Signal Unstable,warning
2026-07-20 13:36:26,Valve-02,Failed to Close,critical
2026-07-20 13:48:13,Tank-02,Level Low,warning
2026-07-20 13:56:15,Pump-02,Flow Low,warning
2026-07-20 14:02:21,Pump-01,Pressure Low,warning
2026-07-20 14:02:48,Pump-02,Pressure High,warning
2026-07-20 14:03:40,Tank-02,Level High,warning
2026-07-20 14:08:45,PLC-01,Communication Timeout,critical
2026-07-20 14:21:25,PLC-01,Communication Timeout,critical
2026-07-20 14:35:31,Sensor-01,Signal Unstable,warning
2026-07-20 14:41:53,Sensor-01,Out of Range,critical
2026-07-20 14:54:39,Pump-01,Pressure Low,warning
2026-07-20 15:08:38,Pump-02,Flow Low,warning
2026-07-20 15:11:21,Sensor-01,Signal Unstable,warning
2026-07-20 15:15:56,Pump-02,Pump Trip,critical
2026-07-20 15:30:52,Pump-02,Pressure High,warning
2026-07-20 15:40:25,Pump-01,Pressure High,warning
2026-07-20 15:55:14,Valve-02,Position Error,warning
2026-07-20 16:03:46,Valve-02,Connection Lost,critical
2026-07-20 16:06:54,Sensor-01,Signal Unstable,warning
2026-07-20 16:11:45,PLC-01,CPU Load High,warning
2026-07-20 16:24:33,PLC-01,CPU Load High,warning
2026-07-20 16:25:52,Pump-01,Pressure Low,warning
2026-07-20 16:34:46,Valve-01,Position Error,warning
2026-07-20 16:36:28,Valve-01,Position Error,warning
2026-07-20 16:48:19,Valve-02,Position Error,warning
2026-07-20 16:58:31,Pump-01,Pressure High,warning
2026-07-20 17:08:48,Tank-02,Level Low,warning
2026-07-20 17:21:21,Tank-02,Level High,warning
2026-07-20 17:23:55,Tank-01,Level Low,warning
2026-07-20 17:37:04,Pump-02,Pressure High,warning
2026-07-20 17:47:00,Pump-02,Pressure High,warning
2026-07-20 17:55:58,Tank-01,Level High,warning
2026-07-20 17:57:28,Valve-02,Connection Lost,critical
2026-07-20 18:05:16,Tank-01,Level High-High,critical
2026-07-20 18:19:22,Pump-01,Motor Overheat,critical
2026-07-20 18:21:28,Valve-01,Position Error,warning
2026-07-20 18:34:28,Valve-01,Connection Lost,critical
2026-07-20 18:38:23,Tank-02,Level High,warning
2026-07-20 18:53:16,Tank-01,Level High-High,critical
2026-07-20 19:08:02,Pump-01,Pressure High,warning
2026-07-20 19:22:31,Tank-01,Level High,warning
2026-07-20 19:33:43,Tank-01,Level High,warning
2026-07-20 19:43:27,Sensor-01,Signal Unstable,warning
2026-07-20 19:55:34,Valve-01,Position Error,warning
2026-07-20 20:05:50,Valve-01,Position Error,warning
2026-07-20 20:12:23,Pump-01,Motor Overheat,critical
2026-07-20 20:16:58,Pump-02,Motor Overheat,critical
2026-07-20 20:24:14,Valve-01,Position Error,warning
2026-07-20 20:38:13,Valve-01,Position Error,warning
2026-07-20 20:51:54,Sensor-01,Calibration Required,info
2026-07-20 21:06:04,Valve-02,Position Error,warning
2026-07-20 21:12:55,Pump-01,Pump Trip,critical
2026-07-20 21:27:11,PLC-01,CPU Load High,warning
2026-07-20 21:41:05,Valve-02,Position Error,warning
2026-07-20 21:48:13,Tank-02,Level Low,warning
2026-07-20 22:01:44,Tank-01,Level Low,warning
2026-07-20 22:08:53,Tank-02,Level Low,warning
2026-07-20 22:12:15,Tank-01,Level Low,warning
2026-07-20 22:18:28,Tank-02,Level Low,warning
2026-07-20 22:27:31,Pump-02,Pump Trip,critical
2026-07-20 22:31:05,Tank-01,Level High,warning
2026-07-20 22:31:26,Valve-02,Connection Lost,critical
